ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,case,summary,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,mental_health_sources,sources_additional_age,type,log_n_killed,log_n_injured,indegree,outdegree
80,51,2014-05-17,84000 block of Pedro Drive Coachella California,0.9010913347279288,1,3,Coachella,California,-116.18875729999999,33.6851422,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,3,2
81,52,2014-05-18,1643 Cleveland Rd Sandusky Ohio,0.6238324625039507,0,7,Sandusky,Ohio,-82.68584940000002,41.4429533,,,,,,,,,,,,,,,0.0,2.079441541679836,5,2
82,53,2014-05-21,4500 block of Village Fair Drive Dallas Texas,0.9010913347279288,1,3,Dallas,Texas,-96.826773,32.694117999999996,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,2,3
83,54,2014-05-23,9541 Flower Street Bellflower California,1.0986122886681096,2,2,Bellflower,California,-118.1303257,33.8821979,,,,,,,,,,,,,,,1.0986122886681098,1.0986122886681098,0,7
84,54,2014-05-23,6200 block of Eads Street New Orleans Louisiana,1.1090354888959124,1,7,New Orleans,Louisiana,-90.0507377,30.0227315,,,,,,,,,,,,,,,0.6931471805599453,2.079441541679836,0,7
85,54,2014-05-23,840 Embarcadero Del Norte Goleta (Isla Vista) California,1.7857739119047358,4,8,Goleta (Isla Vista),California,-119.85507720000001,34.414239200000004,,,,,,,,,,,,,,,1.6094379124341005,2.19722457733622,0,8
86,55,2014-05-24,Ocean Boulevard near First Avenue North Myrtle Beach South Carolina,1.178350206951907,3,1,Myrtle Beach,South Carolina,-78.67765870000002,33.8173013,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,1,7
87,55,2014-05-24,Strathmoor St Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.187569,42.397021,,,,,,,,,,,,,,,0.0,1.6094379124341005,8,0
88,56,2014-05-25,2100 block of Joffre Avenue Toledo Ohio,0.9010913347279288,1,3,Toledo,Ohio,-83.58644269999998,41.6616563,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,4,2
89,57,2014-05-31,800 block of West Victoria St San Bernardino California,0.9010913347279288,1,3,San Bernardino,California,-117.3008869,34.1111328,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,4,2
